draw,intercept,slope
479,-17.294363787334454,1.1496577163499835
480,-17.20040284836499,1.1502240090508766
481,-17.386488540017844,1.1537821664016308
482,-16.99003880361346,1.1401059633479733
483,-17.083588812772042,1.143743564998549
484,-17.193341780911066,1.1472325588621548
485,-17.15496591934985,1.1457411489170983
486,-17.384651751359034,1.1547181281113414
487,-17.314439047924942,1.149986047643589
488,-17.067617845846595,1.1416943084635485
489,-16.98447242072255,1.1395819766048965
490,-17.242383913263005,1.1483477466822898
491,-17.483243996745053,1.15547957297695
492,-17.221772321788947,1.1488010929865946
493,-17.29301778376732,1.1497311742414846
494,-17.06554424055134,1.1442415199055402
495,-17.293345239367493,1.1509217185842107
496,-16.930209689326485,1.1382197526604885
497,-17.020701328588213,1.1425862021020188
498,-17.349188644535335,1.151924939447988
499,-17.179904406721285,1.1484360350326004
500,-17.02487776066393,1.14470945659483
501,-17.363849760682804,1.155190644968893
502,-17.381902684031477,1.1534590258517463
503,-17.11407563735296,1.1480296362970552
504,-16.929588041098654,1.1390558127090664
505,-16.94019825298419,1.1396520930434604
506,-17.20391625876552,1.1487273104457483
507,-17.228973987071633,1.1508548858143435
508,-17.197118899906663,1.1495939383363556
509,-17.265687449318836,1.1494852892143637
510,-17.126268137970673,1.1453211118437698
511,-17.29495057311844,1.151095228056106
512,-17.20747693195496,1.148117302322921
513,-17.113627289603937,1.1437401536491547
514,-17.007263188517914,1.1414981216057118
515,-17.188036770697792,1.1480107901906902
516,-16.865506182496148,1.1372640984630673
517,-17.36564109938797,1.15122170137396
518,-17.240513434537217,1.1494961086800504
519,-16.922625505491126,1.1363610339606618
520,-16.830750560341166,1.1359509889220392
521,-16.943769301772328,1.1400005036691927
522,-17.056277856020575,1.142470875579704
523,-16.820136709911615,1.1332039911560474
524,-17.113352960284804,1.1432008471113453
525,-17.150320923259986,1.1459050016246761
526,-17.300938342873753,1.152000368570679
527,-16.914404148243477,1.1386752637273014
528,-17.049004643333785,1.142435920540424
529,-17.32827196826509,1.1509051452373413
530,-16.86734212823228,1.135927734567067
531,-17.287223576615254,1.1507777612566599
532,-17.171810982355687,1.1490268579815124
533,-17.015460851084587,1.1419308877576009
534,-17.111092643290377,1.1439753875809016
535,-17.364713283457075,1.1531414675541927
536,-17.149087630151488,1.1428830653666313
537,-17.46022000832146,1.1567816722170534
538,-17.59790550073675,1.1614787852606643
539,-17.11472586058431,1.1454831925790991
540,-16.88219770444169,1.1390545810009538
541,-17.646816714483958,1.1613990181407576
542,-16.795666488194883,1.136680470455675
543,-16.937164792287795,1.1366849721923737
544,-17.29285534040144,1.1480978326401194
545,-17.389494719286144,1.15299045542222
546,-17.16929437039342,1.1463946270197904
547,-17.297938732554748,1.1516366048034046
548,-17.167324781112697,1.1473784255349695
549,-17.35427234216931,1.154299909180394
550,-17.269871728557973,1.150056143203755
551,-17.301804904560015,1.1487681010728064
552,-17.018902979736595,1.142924081044198
553,-17.137139331024812,1.1465413414764916
554,-17.494251389809072,1.1567224937245206
555,-17.20734443393616,1.1443795138050215
556,-17.376919648556022,1.1539981194751614
557,-17.04069795689797,1.14253997659032
558,-16.935484226835374,1.1381033436093364
559,-17.254985056126404,1.148120722320052
560,-17.41800568927637,1.1546946156370321
561,-17.27230660673349,1.1480631548718203
562,-17.091727777636265,1.1439213728848816
563,-17.18582075182666,1.145734617073073
564,-17.186975380918266,1.1467753900984805
565,-17.40799805523122,1.153017532324051
566,-17.009677851766888,1.1428369631365158
567,-17.242407999952942,1.1503851424452194
568,-17.09568423588898,1.1428165624695161
569,-16.663361158977363,1.128805559060457
570,-17.20026803591209,1.1499857642939644
571,-17.138834294801512,1.1438634627662676
572,-17.227456801109636,1.1462474189752079
573,-17.181004606983322,1.1466702194153051
574,-16.949356635962484,1.138985595981062
575,-17.141759844319072,1.1437431325242415
576,-17.19188485055555,1.1497891473455073
577,-17.26096010539645,1.1494891730694554
578,-17.12395658347656,1.1441516181996403
579,-17.137926910420365,1.1425925393480973
580,-17.38942995625967,1.151605947154167
581,-17.27274131170364,1.1486127984751622
582,-17.21087769081587,1.1479996282200138
583,-17.38763191441158,1.151935782164664
584,-17.094794063097325,1.1445019317305165
585,-17.26086116404095,1.1476953056432886
586,-17.303648596589632,1.1486644855135746
587,-17.00280941355282,1.141192959140695
588,-17.086556554031176,1.1441183010358562
589,-17.070096250011584,1.142296588163958
590,-17.294886508414912,1.1517410979265505
591,-17.28995299312287,1.1516453828335709
592,-17.31280502699147,1.1489660427372932
